@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
98,3,14,100,12,6,2,2,6,80,4,11,99,11,11,8,467,verde
13,3,6,90,3,12,5,100,8,60,13,6,80,2,11,9,421,verde
60,12,2,102,9,8,9,1,3,88,3,1,88,11,11,6,414,verde
101,8,14,77,9,10,3,4,14,87,5,14,70,13,9,13,451,verde
8,2,1,88,9,3,9,99,15,84,5,7,77,13,7,8,435,verde
99,4,10,75,6,7,12,1,12,85,1,5,101,12,11,1,442,verde
1,11,6,76,8,9,2,103,9,99,2,2,97,11,9,7,452,verde
68,14,15,77,2,6,8,4,5,81,3,7,98,11,10,9,418,verde
6,7,3,74,10,15,10,107,6,82,4,15,96,12,14,7,468,verde
88,8,2,71,11,2,5,6,14,83,7,5,95,8,2,2,409,verde
13,11,15,99,12,6,9,99,11,84,1,5,94,11,14,2,486,verde
77,10,14,90,5,7,2,9,8,85,2,3,90,15,13,4,434,verde
4,100,90,15,100,101,5,4,8,14,4,100,4,6,1,8,564,amarelo
8,101,13,3,98,13,99,15,10,10,7,99,2,14,5,6,503,amarelo
13,1,99,12,88,99,3,6,1,14,3,98,9,9,10,12,477,amarelo
11,88,14,3,8,100,101,11,7,14,2,101,14,4,3,8,489,amarelo
5,12,103,8,88,77,2,15,14,10,9,78,1,12,2,7,443,amarelo
10,105,4,6,99,10,66,13,12,8,10,88,3,9,2,1,446,amarelo
13,7,109,14,14,101,100,12,7,6,12,102,12,9,12,5,535,amarelo
11,88,14,11,100,99,7,5,1,5,14,103,4,8,7,8,485,amarelo
8,11,99,1,88,14,99,8,12,10,10,100,14,12,2,11,499,amarelo
4,98,9,5,5,100,101,13,2,15,10,99,1,1,4,2,469,amarelo
2,3,97,8,77,88,3,15,13,14,8,98,12,6,12,8,464,amarelo
7,98,1,8,7,99,102,4,10,9,15,97,6,7,6,9,485,amarelo
9,10,99,12,102,100,14,8,8,3,10,96,10,5,10,8,504,amarelo
12,101,13,1,10,99,88,9,9,13,6,95,7,3,13,7,486,amarelo
2,9,100,3,107,100,6,8,5,2,6,101,9,13,11,11,493,amarelo
4,77,13,8,100,12,100,9,3,5,10,100,2,13,7,8,471,amarelo
6,11,7,7,11,7,2,4,11,5,100,9,10,100,99,98,487,vermelho
6,6,5,8,2,15,9,12,4,14,101,2,5,104,101,99,493,vermelho
8,13,2,11,14,15,15,12,2,5,99,1,7,105,102,97,508,vermelho
10,15,11,8,11,6,9,9,11,8,104,5,7,106,103,100,523,vermelho
13,1,15,3,4,3,8,1,5,5,98,7,9,107,104,101,484,vermelho
11,11,7,5,3,11,11,11,8,7,97,13,15,99,105,102,516,vermelho
7,14,12,14,6,13,5,10,9,10,96,15,5,98,99,103,516,vermelho
7,12,1,11,3,14,7,5,9,8,101,15,1,97,98,104,493,vermelho
7,7,5,12,12,11,3,2,3,2,102,10,12,96,97,101,482,vermelho
8,3,12,2,12,6,5,5,7,12,103,7,9,100,96,99,486,vermelho
9,15,6,7,14,14,6,9,14,2,80,9,11,103,101,98,498,vermelho
3,10,8,6,12,13,8,12,4,11,88,9,5,104,100,97,490,vermelho
6,3,7,2,3,9,11,12,11,5,97,5,1,100,102,100,474,vermelho
14,11,6,4,7,15,2,7,2,7,98,12,13,101,103,102,504,vermelho
4,7,7,14,7,5,15,11,4,1,104,2,3,102,104,103,493,vermelho
12,14,5,8,4,15,10,10,8,5,105,8,6,103,105,104,522,vermelho
98,11,7,100,12,10,13,5,3,80,4,9,99,7,3,9,470,verde
6,15,3,90,9,7,14,100,11,60,11,6,80,11,15,12,450,verde
60,6,3,102,6,2,15,7,12,88,10,2,88,9,6,5,421,verde
101,2,13,77,3,14,9,14,1,87,12,12,70,1,3,4,423,verde
5,10,12,88,5,6,7,99,3,84,14,14,77,8,13,10,455,verde
99,2,1,75,5,12,10,3,2,85,7,2,101,5,13,7,429,verde
15,10,15,76,2,13,13,103,9,99,15,12,97,3,6,11,499,verde
68,13,9,77,3,11,7,8,15,81,2,10,98,9,4,7,422,verde
10,15,14,74,6,11,12,107,15,82,7,15,96,7,3,7,481,verde
88,6,7,71,3,7,8,9,14,83,13,14,95,12,2,13,445,verde
11,9,11,99,5,5,10,99,4,84,4,10,94,13,7,12,477,verde
77,11,6,90,7,13,10,1,12,85,12,13,90,11,15,1,454,verde
7,100,90,8,100,101,1,5,9,5,14,100,3,10,10,13,576,amarelo
6,101,11,14,98,15,99,12,15,8,7,99,13,4,11,9,522,amarelo
14,13,99,1,88,99,5,10,6,8,2,98,10,15,15,3,486,amarelo
12,88,5,7,11,100,101,8,1,6,8,101,1,4,5,10,468,amarelo
14,2,103,15,88,77,13,9,4,6,5,78,4,14,3,7,442,amarelo
1,105,11,1,99,4,66,10,2,6,4,88,6,4,14,11,432,amarelo
11,3,109,14,5,101,100,14,1,8,2,102,14,2,14,5,505,amarelo
1,88,5,6,100,99,10,6,8,3,12,103,10,7,7,2,467,amarelo
12,10,99,3,88,1,99,1,9,15,7,100,13,2,3,14,476,amarelo
9,98,12,6,3,100,101,6,11,11,5,99,11,4,12,2,490,amarelo
10,4,97,10,77,88,7,4,3,8,1,98,9,12,15,8,451,amarelo
3,98,14,5,11,99,102,9,11,8,1,97,7,14,10,1,490,amarelo
6,14,99,2,102,100,12,14,12,3,10,96,9,11,3,15,508,amarelo
13,101,10,4,2,99,88,6,5,3,12,95,12,13,5,1,469,amarelo
7,9,100,9,107,100,14,2,6,11,8,101,14,10,13,11,522,amarelo
2,77,11,15,100,13,100,12,4,3,8,100,12,7,1,14,479,amarelo
11,9,2,13,3,8,9,7,13,12,100,15,9,100,99,98,508,vermelho
14,8,5,13,1,11,3,8,5,4,101,3,4,104,101,99,484,vermelho
11,4,6,12,9,5,7,10,3,14,99,1,4,105,102,97,489,vermelho
1,1,1,8,7,10,5,10,2,2,104,12,9,106,103,100,481,vermelho
15,14,2,7,13,1,1,3,7,3,98,1,1,107,104,101,478,vermelho
9,5,9,3,8,11,8,5,13,9,97,12,10,99,105,102,505,vermelho
11,5,7,2,4,15,4,7,2,1,96,15,10,98,99,103,479,vermelho
11,13,3,8,1,3,5,6,10,13,101,5,15,97,98,104,493,vermelho
15,14,4,12,13,13,6,6,7,3,102,15,15,96,97,101,519,vermelho
9,9,1,2,5,15,11,4,2,7,103,9,15,100,96,99,487,vermelho
8,11,3,5,14,9,1,13,4,15,80,2,14,103,101,98,481,vermelho
