@relation Dataset

@attribute AdministracaoSistema REAL
@attribute Compra REAL
@attribute Venda REAL
@attribute Transferencia REAL
@attribute Estoque REAL
@attribute Financeiro REAL
@attribute Fiscal REAL
@attribute Relatorio REAL
@attribute SNGPC REAL
@attribute Integracao REAL
@attribute Client REAL
@attribute Crediario REAL
@attribute Ecommerce REAL
@attribute PBM REAL
@attribute Servidor REAL
@attribute Geral REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
79,1,4,80,2,9,6,7,7,80,10,1,99,3,7,4,399,verde
3,10,5,90,8,7,3,80,10,60,10,3,80,9,5,1,384,verde
60,9,6,102,2,4,2,2,4,88,1,4,88,7,4,3,386,verde
81,6,8,77,3,3,2,7,3,87,8,7,70,9,2,7,380,verde
4,4,6,88,10,6,4,99,5,84,9,5,77,5,2,8,416,verde
99,7,9,75,3,6,8,8,7,85,9,9,81,6,1,2,415,verde
5,10,10,76,5,7,1,103,9,99,9,9,77,6,4,4,434,verde
68,4,6,77,1,5,4,8,9,81,1,10,79,10,2,5,370,verde
4,7,1,74,7,4,6,107,3,82,3,6,76,5,2,9,396,verde
88,3,9,71,1,3,9,7,9,83,3,3,75,2,5,2,373,verde
4,3,7,99,10,7,8,99,6,84,4,3,94,3,2,1,434,verde
77,6,7,90,3,5,7,5,7,85,1,6,90,4,9,8,410,verde
10,80,90,7,80,81,6,10,6,6,6,80,10,4,6,9,491,amarelo
7,81,6,9,79,4,99,10,4,6,4,99,3,6,2,9,428,amarelo
4,2,99,8,88,99,4,8,2,4,1,79,6,2,2,1,409,amarelo
8,88,8,7,5,80,81,10,7,2,3,81,5,8,1,10,404,amarelo
5,5,103,8,88,77,7,2,6,3,4,78,3,3,6,10,408,amarelo
4,105,4,9,99,9,66,6,8,1,10,88,7,6,4,10,436,amarelo
8,9,109,8,8,81,80,10,4,5,3,102,10,9,9,7,462,amarelo
10,88,1,6,80,99,9,7,2,10,9,103,6,4,5,7,446,amarelo
3,5,99,9,88,9,99,5,1,2,10,80,7,4,9,6,436,amarelo
5,79,8,10,9,80,81,10,6,9,2,99,6,1,5,3,413,amarelo
6,3,77,9,77,88,4,4,9,3,4,79,6,7,7,8,391,amarelo
3,79,1,5,6,99,102,4,4,5,4,77,4,3,5,5,406,amarelo
8,5,99,3,102,80,5,3,6,8,6,76,10,1,10,3,425,amarelo
7,81,7,3,1,99,88,6,2,10,1,75,6,8,1,6,401,amarelo
5,1,80,7,107,80,4,9,5,7,1,81,6,3,9,2,407,amarelo
