@relation Dataset

@attribute EAD REAL
@attribute LeituradoBancodeDados REAL
@attribute UnidadedeNegocio REAL
@attribute EstaçãoAtiva REAL
@attribute PessoaProdutoUsuário REAL
@attribute Cotação REAL
@attribute CustoDoProduto REAL
@attribute DevoluçãoDeCompra REAL
@attribute Fornecedor REAL
@attribute PedidoDeCompra REAL
@attribute RecebimentoFísico REAL
@attribute SugestãoDeCompra REAL
@attribute Geral REAL
@attribute CadernoDeOferta REAL
@attribute DevoluçãoDeVenda REAL
@attribute Encomenda REAL
@attribute Entrega REAL
@attribute Fidelidade REAL
@attribute ImpressoraEcf REAL
@attribute ImpressoraNãoFiscal REAL
@attribute Orçamento REAL
@attribute Remuneração REAL
@attribute Sat REAL
@attribute Tef REAL
@attribute VendaDeCrédito REAL
@attribute Geral1 REAL
@attribute Operações REAL
@attribute SugestãoDeTransferência REAL
@attribute Geral2 REAL
@attribute BaixaDeEstoque REAL
@attribute ColetorDeDados REAL
@attribute Inventário REAL
@attribute Geral3 REAL
@attribute Boleto REAL
@attribute ConciliaçãoBancária REAL
@attribute ConciliaçãoDeCartão REAL
@attribute ContaAPagar REAL
@attribute Dda REAL
@attribute Extrato REAL
@attribute PagamentoEletrônico REAL
@attribute Geral4 REAL
@attribute Integrações REAL
@attribute NotaEntrada REAL
@attribute EmissãoNfe REAL
@attribute Sped REAL
@attribute Tributação REAL
@attribute Cfe REAL
@attribute Geral5 REAL
@attribute Dre REAL
@attribute FluxoDeCaixa REAL
@attribute RelatórioPai REAL
@attribute Fiscal REAL
@attribute AlteraçãoDePreço REAL
@attribute CloseupIms REAL
@attribute Email REAL
@attribute Etiqueta REAL
@attribute GuiaDeMedicamentos REAL
@attribute PainelDeAtendimentoSenha REAL
@attribute Geral6 REAL
@attribute Covisa REAL
@attribute Inventário2 REAL
@attribute Operações2 REAL
@attribute Transmissões REAL
@attribute Relatório REAL
@attribute Geral7 REAL
@attribute FarmáciaEmCasa REAL
@attribute Nexxera REAL
@attribute Plugpharma REAL
@attribute Procfit REAL
@attribute Solus REAL
@attribute Trier REAL
@attribute Ultrafarma REAL
@attribute WebDecisor REAL
@attribute Integrafarma REAL
@attribute CosmosPro REAL
@attribute Rappi REAL
@attribute A7pharma REAL
@attribute Pdv REAL
@attribute Fatura REAL
@attribute Layout REAL
@attribute WebConvenio REAL
@attribute Geral8 REAL
@attribute CafeDigital REAL
@attribute Ciashop REAL
@attribute Ezcommerce REAL
@attribute Magento REAL
@attribute Big REAL
@attribute Epharma REAL
@attribute FarmaciaPopular REAL
@attribute Funcionalcard REAL
@attribute Pharmasystem REAL
@attribute Siscred REAL
@attribute SystemFarma REAL
@attribute Trncentr REAL
@attribute Ultracard REAL
@attribute Vidalink REAL
@attribute MonitorPbm REAL
@attribute Geral9 REAL
@attribute Pharmalink REAL
@attribute Geral10 REAL
@attribute Atualização REAL
@attribute BaseDeDados REAL
@attribute Instalação REAL
@attribute Sincronização REAL
@attribute TrocaDeServidor REAL
@attribute Geral11 REAL
@attribute Internet REAL
@attribute Rede REAL
@attribute Hardware REAL
@attribute SistemaOperacional REAL
@attribute Geral12 REAL
@attribute Pontuacao REAL
@attribute Classificação {verde,amarelo,vermelho}

@DATA
2,10,6,10,10,8,4,7,5,4,7,3,7,2,4,10,10,5,10,8,10,3,7,9,1,3,2,8,10,6,6,10,8,3,10,1,6,9,7,8,7,1,2,3,6,4,6,6,9,9,8,4,7,1,6,1,7,10,4,8,3,5,4,4,1,2,8,10,7,7,8,9,5,7,5,5,2,4,8,3,6,10,3,5,10,8,8,5,9,5,5,6,2,6,6,2,1,4,10,1,2,4,5,3,8,6,100,100,100,7,10,6301,amarelo
10,6,4,4,9,10,2,5,4,4,6,7,5,8,4,1,9,8,8,7,10,4,9,1,4,10,4,7,4,5,1,10,1,5,4,1,5,5,2,4,1,3,7,9,6,3,7,8,3,8,2,4,9,6,5,9,5,4,5,5,6,5,3,8,1,6,9,1,9,10,1,4,9,8,3,9,4,8,6,10,6,5,7,5,6,8,9,6,2,3,1,9,4,9,1,6,3,2,100,100,100,8,5,7,3,2,2,9,9,7,6,5281,amarelo
100,100,100,9,8,3,4,2,9,5,4,9,10,7,3,9,7,8,8,5,9,3,10,1,8,2,4,3,1,8,1,9,7,8,1,5,5,3,2,5,4,3,6,8,2,1,9,7,1,2,8,9,6,3,9,2,9,5,1,6,8,8,4,3,1,4,10,5,3,3,10,7,2,8,5,4,10,2,7,5,5,1,6,2,4,8,5,10,100,100,100,7,10,6,4,3,7,10,6,3,6,8,4,4,10,6,6,6,10,2,8,6675,vermelho
8,4,1,100,100,100,3,2,3,3,4,3,10,8,4,8,10,1,8,4,1,6,6,8,10,8,9,1,8,4,8,10,7,2,1,3,7,7,9,5,2,1,9,4,10,1,5,7,9,8,3,8,6,6,10,10,3,4,4,4,9,5,9,8,4,7,7,5,7,4,7,10,9,8,10,6,4,6,3,1,2,1,3,9,6,9,1,1,2,4,7,2,4,3,4,10,2,6,9,6,10,4,1,8,10,3,4,7,7,6,5,3909,verde
3,3,3,5,1,1,7,9,4,5,9,4,2,1,6,1,10,3,7,1,5,3,4,8,5,1,9,5,8,1,7,3,8,9,8,9,7,4,7,1,4,1,8,2,8,8,7,1,6,1,7,4,8,1,8,2,2,2,9,1,6,9,5,5,3,1,6,3,8,10,6,8,5,7,2,7,5,7,5,3,7,2,6,4,1,10,8,2,6,2,5,4,5,10,2,6,4,1,4,3,7,5,1,8,4,6,7,6,9,8,7,3186,verde
2,8,6,2,7,8,2,3,3,4,4,5,7,9,9,9,3,5,9,8,8,2,2,10,7,6,3,6,10,8,3,3,10,6,4,10,8,3,2,8,2,1,7,4,4,8,9,1,10,4,5,4,3,2,5,8,9,5,7,8,3,9,6,3,5,2,100,100,100,4,3,3,5,1,9,3,5,5,6,6,10,5,9,7,8,8,4,4,8,8,7,8,9,7,10,4,4,8,7,3,7,2,4,4,10,3,1,1,5,1,5,4022,verde
5,7,3,9,3,6,5,9,9,6,6,6,6,8,6,2,1,8,4,7,10,8,3,6,5,4,1,6,3,9,7,2,9,1,9,1,1,6,7,3,6,2,5,1,8,8,9,5,9,6,9,1,2,1,2,1,3,7,4,4,1,5,5,2,5,6,4,1,6,7,1,1,5,5,1,2,3,1,5,100,100,100,7,2,7,7,5,9,4,9,4,5,6,9,2,1,6,9,5,5,7,1,6,5,7,2,4,10,10,4,10,4929,amarelo
7,7,7,9,4,9,3,6,1,4,5,2,10,8,4,1,10,8,4,7,4,7,1,3,3,2,3,1,5,6,100,100,100,5,9,1,8,7,10,3,3,7,3,8,5,10,8,1,5,3,7,2,6,1,1,10,2,9,9,2,2,2,4,2,1,3,5,9,6,2,2,4,6,3,2,7,3,1,10,10,10,3,3,5,4,4,10,4,7,1,4,9,10,10,7,4,9,10,1,5,4,5,4,2,9,10,7,9,8,4,4,4619,amarelo
2,6,1,7,8,4,3,3,7,3,9,8,7,8,1,9,7,9,6,9,7,2,100,100,100,7,2,1,10,6,1,5,8,5,1,9,3,3,6,10,2,2,9,1,1,9,4,4,10,1,3,2,3,5,4,3,10,2,2,9,3,7,2,8,7,1,7,8,2,9,8,8,1,10,6,6,7,2,10,2,10,8,9,5,3,8,4,3,9,1,10,10,8,1,9,2,2,5,10,10,5,6,7,7,5,3,1,6,4,8,6,5746,amarelo
2,1,5,2,2,8,3,2,5,2,9,3,1,8,2,2,10,8,9,2,8,6,5,8,10,9,9,8,4,8,3,7,4,10,9,8,7,6,8,9,6,5,10,10,1,1,6,7,7,8,1,5,7,2,1,5,7,10,7,8,9,2,6,8,1,100,100,100,8,6,3,8,7,1,10,1,230,110,90,55,100,100,100,9,4,5,3,3,3,1,10,7,1,8,9,1,1,10,2,1,10,5,10,4,8,1,1,8,4,4,7,9739,vermelho
